tx_hash,defect_family
0x6a9c2c0f826591105d54c1ccebeb3677810ea40b90652152cab2daf7c0772d58,reward_distribution_TEND_WING
0xafc78e5794677191e2aff92db76c8f9093228825f524f00885e8cd8743d8a489,reward_distribution_TEND_WING
0x358e8afa600ca6b1b2f2f5aeacc34004f2c61f035585ac66e046599722a1163d,reward_distribution_TEND_WING
0xcf7798a4c9d37f9d3c118d03a203893d68f2a75149c37892d8898209db0b2bc5,reward_distribution_TEND_WING
0x45030b524a82b029cf9afe0c7307d3d50802b76d5b772c59d877f9202ae3c342,reward_distribution_TEND_WING
0xa83901691955e2a9153beea398a891b8f53af57b669cf05ddbafc27c7ab26eb1,reward_distribution_TEND_WING
0x856d2677219a6523f7915418e3ed72b3f788a86c644227af1e31e4eee3b60b55,reward_distribution_TEND_WING
0x6c3c2a731974f4b6ea510565a1d4381fd09a8f0085de5925f036c24fa540de03,reward_distribution_TEND_WING
0x1345b1d4cfb105034d8040baf9d6b8d4ea3858d17ba8b24d762238fd65b57c8b,reward_distribution_TEND_WING
0xcaa8e8ece231b2ebd50742135a0aceb1badcf8bd95a840296aefdeeb650750e8,reward_distribution_TEND_WING
0x1334f3bd3e2a0400b20887245ad5cc0b7a1f8ffa8a30146a36c65ee6e16ba0ed,reward_distribution_TEND_WING
0xa5223877e674ba9369ff35e54900a274c3dec7c362b669c64c39be867f02936b,reward_distribution_TEND_WING
0x4744018e1d15c6595786917f745a5e95c817a4f34a89e472d668664ed3c69bc0,reward_distribution_TEND_WING
0x9d04e150fb935a955bc46c48ab536d7b61b76a04240e5d61277cb20a57755885,reward_distribution_TEND_WING
0x8feee4aba9776d4d1e58a41c3d5fb1ba90cea1ea8ae4ade405727962b13338b0,reward_distribution_TEND_WING
0x52883db463fe322b122472fe7deb22d21c3aa241d7e5b32236a4ab4a7c6ea9ab,reward_distribution_TEND_WING
0xe22f74542c2d0886701f6f34f97e57438f0e80ab1dc98dab45490139afbc114e,reward_distribution_TEND_WING
0xbc9be2780a04baa56690fef445cc028cf153811713d77dac2b4c2318aeb2b71f,reward_distribution_TEND_WING
0xfa04452102cf6304ad67b271d95e147f98d4f6de3a4c5f556f0736546694e855,reward_distribution_TEND_WING
0x366f94d80b5e0f6a3587e82da909e3bc002ce67dcd0adf26a215f5f7da0b21a3,reward_distribution_TEND_WING
0x82320ffc231ae59929249c4328826336ef025c814d8711e6854482a11080082a,reward_distribution_TEND_WING
0xa20113026c0b53718a7c2ff8cef4db13b33863b548e414cd4a3fd43a81f34e7b,reward_distribution_TEND_WING
0x99aa7f37c86f2469f26bd106e601986b08256e2616090ad54464c79d1c344246,reward_distribution_TEND_WING
0x336f08d0b832f73e1a607bdbd5400413820b981d8db86124ca8f5590917e0d18,reward_distribution_TEND_WING
0xa6ba281694dd8cbc122f695e6439e150ba2bf7caca8dd55421f4d76344a2e725,reward_distribution_TEND_WING
0x0776297c79eef15008bde5c9c304f2142e338f698d7d686e2dedb2af9d1d3f89,reward_distribution_TEND_WING
0x063e36304b1e466666cc951fe2a25b56e449252990b38fbdce07c8d1e54ff5dc,reward_distribution_TEND_WING
0x72b25ecd304286a3560855a589c3a84e79f74dae89090604980834504c638dd9,reward_distribution_TEND_WING
0xba979c45293c57c7719db297db2a7c7c5868eb355c91e83f607bd20bd59f0167,reward_distribution_TEND_WING
0xd0674830337cae6bc9f63b7f721164a8a71af2bc1f970e92d000a19810e83c05,reward_distribution_TEND_WING
0x1922706c42f99e3e1cf7c45401597c291c3892921ecb8549c7c951ee2bb7b1ff,reward_distribution_TEND_WING
0x84741ca321871ae581ca0e0dfb689bf98aac9a99b971b264aaacffd37b9ae431,reward_distribution_TEND_WING
0x722e4fe962fea4d7d23bf02c3f3fe9b4dbc08c29e92ab7db8026318eb0f01ec8,reward_distribution_TEND_WING
0x6b4b55c07a835f9fbecbfb634252d6f693b7dd7f5bb97b8108cd60836dd69f20,reward_distribution_TEND_WING
0xcb06619d5021bbc5896cd034faf572fffee9c1a3c52c2fff4d1c880872aee065,reward_distribution_TEND_WING
0xa51eec1c572139c918fbd5a915eec1c79ed1b7cae8815ab4fba246c1dded32f2,reward_distribution_TEND_WING
0xcb2c6e36d28f639ca5fdb2c6fe7f692f9815226705967212241b42656586f7e5,reward_distribution_TEND_WING
0xc95567a2eedec9c1f6384c44ba11fbc529ab5b077a8078938d36a02687a79465,reward_distribution_TEND_WING
0x56bd3d610f33c2aedd5b1c724adb1de9fc0b36e76b01be49e64863a1dc55cb41,reward_distribution_TEND_WING
0x7e492b885228d5a6eed4225f276d28c5425a9c49543d0a370c7a97c9237b74a9,reward_distribution_TEND_WING
